tax_id	species	genus	family	order	class	phylum	superkingdom	605.filtered	61.filtered	1057.filtered	579.filtered	243.filtered	889.filtered	763.filtered	229.filtered	1085.filtered	537.filtered	383.filtered	465.filtered-threshold-0.0001	369.filtered	169.filtered	103.filtered	283.filtered	929.filtered	7.filtered	185.filtered	931.filtered	679.filtered-threshold-0.0001	707.filtered	169.filtered-threshold-0.0001	381.filtered	761.filtered	791.filtered	663.filtered	619.filtered	455.filtered-threshold-0.0001	343.filtered	561.filtered	337.filtered	147.filtered	411.filtered	213.filtered	89.filtered	187.filtered	733.filtered	563.filtered	113.filtered	901.filtered	831.filtered	595.filtered	1113.filtered	633.filtered	355.filtered	635.filtered	525.filtered	425.filtered	201.filtered	133.filtered-threshold-0.0001	157.filtered	873.filtered	255.filtered	159.filtered	875.filtered	227.filtered	455.filtered	721.filtered-threshold-0.0001	119.filtered	691.filtered	273.filtered	77.filtered	567.filtered	143.filtered-threshold-0.0001	329.filtered	131.filtered	281.filtered	719.filtered-threshold-0.0001	437.filtered	309.filtered	7.filtered-threshold-0.0001	547.filtered	985.filtered	315.filtered-threshold-0.0001	535.filtered	269.filtered	45.filtered	693.filtered	241.filtered	231.filtered-threshold-0.0001	943.filtered	481.filtered	761.filtered-threshold-0.0001	73.filtered	1029.filtered	1055.filtered	63.filtered	577.filtered	603.filtered	199.filtered	733.filtered-threshold-0.0001	679.filtered	463.filtered	133.filtered	19.filtered-threshold-0.0001	903.filtered	859.filtered	833.filtered	127.filtered	707.filtered-threshold-0.0001	647.filtered	213.filtered-threshold-0.0001	245.filtered	43.filtered	393.filtered	747.filtered	453.filtered	523.filtered	609.filtered	575.filtered	141.filtered-threshold-0.0001	385.filtered	33.filtered	173.filtered	525.filtered-threshold-0.0001	719.filtered	239.filtered	845.filtered	413.filtered	497.filtered	621.filtered	845.filtered-threshold-0.0001	803.filtered	269.filtered-threshold-0.0001	987.filtered	775.filtered	155.filtered	371.filtered	357.filtered-threshold-0.0001	1001.filtered	87.filtered	1013.filtered	957.filtered	367.filtered	901.filtered-threshold-0.0001	397.filtered	873.filtered-threshold-0.0001	271.filtered	593.filtered	197.filtered	1043.filtered	197.filtered-threshold-0.0001	211.filtered-threshold-0.0001	253.filtered	705.filtered	297.filtered	71.filtered	129.filtered	721.filtered	311.filtered	421.filtered	161.filtered	973.filtered	549.filtered	259.filtered	589.filtered	365.filtered	423.filtered-threshold-0.0001	75.filtered	847.filtered	5.filtered-threshold-0.0001	439.filtered	287.filtered	623.filtered	313.filtered	427.filtered	735.filtered	189.filtered	85.filtered	339.filtered	533.filtered	469.filtered	861.filtered	651.filtered	509.filtered	199.filtered-threshold-0.0001	665.filtered	423.filtered	5.filtered	749.filtered	175.filtered	21.filtered-threshold-0.0001	465.filtered	3.filtered	617.filtered	225.filtered-threshold-0.0001	117.filtered-threshold-0.0001	521.filtered	323.filtered	91.filtered	119.filtered-threshold-0.0001	301.filtered	467.filtered	777.filtered	315.filtered	631.filtered	327.filtered	21.filtered	819.filtered	217.filtered	257.filtered	945.filtered	789.filtered	971.filtered	19.filtered	511.filtered	1041.filtered	1027.filtered	817.filtered	211.filtered	185.filtered-threshold-0.0001	887.filtered	649.filtered	49.filtered	441.filtered	581.filtered	267.filtered	763.filtered-threshold-0.0001	267.filtered-threshold-0.0001	421.filtered-threshold-0.0001	1015.filtered	637.filtered	295.filtered-threshold-0.0001	435.filtered	519.filtered	805.filtered	565.filtered	507.filtered	225.filtered	145.filtered	479.filtered	449.filtered	183.filtered-threshold-0.0001	395.filtered	57.filtered	589.filtered-threshold-0.0001	175.filtered-threshold-0.0001	115.filtered	495.filtered	59.filtered	353.filtered	505.filtered	607.filtered	591.filtered	999.filtered	379.filtered	915.filtered	917.filtered	1071.filtered	47.filtered	1097.filtered	171.filtered	35.filtered	273.filtered-threshold-0.0001	749.filtered-threshold-0.0001	141.filtered	1111.filtered	959.filtered	17.filtered	451.filtered	351.filtered	203.filtered	295.filtered	493.filtered	491.filtered	929.filtered-threshold-0.0001	469.filtered-threshold-0.0001	677.filtered	215.filtered	143.filtered	539.filtered	693.filtered-threshold-0.0001	31.filtered	483.filtered	357.filtered	325.filtered	231.filtered	183.filtered	1083.filtered	341.filtered	1069.filtered	105.filtered	117.filtered
100134	Anaerocolumna xylanovorans	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria																																																																																																																																																																																																													0.0002464706768358																																																																															
1002795	Pectinatus sottacetonis	Pectinatus	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria						0.0003888849607579																																																																																																																																																																																																																																																																																						
1002870	Gaiella occulta	Gaiella	Gaiellaceae	Gaiellales	Rubrobacteria	Actinobacteria	Bacteria								0.0002660097915541													0.0004954683364594	0.0002287263371576											0.0004237633708262																																				0.0008993862841329										9.478471903274988e-05												0.0001184338310186		0.0004954788883684								0.000257502850019			0.0002362113419619													0.0008993712512689					0.0008611124385109																		0.0002418661097088																						0.0002531546127891			0.0009212996520405												0.000118504941656			0.0002537083561038																																																																0.0005235986219987							0.0002501211165301									0.0009836654195168																			6.593114493850505e-05					
1004	Chitinophaga sancti	Chitinophaga	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria																																																																										0.0002216857973299																																																																																																																																																									0.0006375500668656																																																									
1005039	Fimbriimonas ginsengisoli	Fimbriimonas	Fimbriimonadaceae	Fimbriimonadales	Fimbriimonadia	Armatimonadetes	Bacteria			0.0008013871805838			0.0050319361733732	0.0003454135982425	0.0005707762557077	0.0050900453256417						0.0003518992786064		0.0087342412863583	0.0001350459156113		0.0201864338396318	0.0010022692889561	0.0059585391975273			0.0002924318633758				0.0017977737266253	0.0001956028479774			0.0001883375588554					0.0036593876300002				0.0024188035686116		0.0006858103623733				0.0030904373544439		0.0012857566732969	0.0001763066329316				0.0005733005733005	0.0007323787637061		0.001797008512602	0.0044167399580152			0.0040208139319931						0.0038177653346907	0.0001008739350922			0.0001350996359815		0.0009729543327257	0.0001945941738504				0.0008203364557207		0.0010182646431403			0.000292648665522		0.0032201405152224					0.0001500161859569	0.0036617683399456	0.0010022692889561		0.0001777235549307	0.0006157987257778		0.0004369587669818	0.0021473490464747		0.0059648753657453						0.0005037545455976	0.0017467627145078		0.001432758059264				0.0003770798309425		0.0030907110406574	0.000100854512781		0.0010552172223775		0.0020825787758058		0.0010553132068809	0.0030557677616501		0.003156146211954		0.00403854329035		0.0002067030857817									0.0013093068994307							0.0010669253152279			0.0022934464766928	0.004413934689164			0.0015275746814288			0.0029182879377431					0.0023889305835967	0.0002259952905672	0.0029103608847497					0.0028281567664405					0.0051625020924193	0.0040627806526108			0.000150106259431			0.0002257829570444	0.0021710901175622	0.0020337681751592	0.0009925476047813					0.0002778225878725					0.0006041664738772	0.0020119167375996		0.0001945184695286			0.0009674825114457		0.0048858899494873	0.0004250581924906	0.0007820646506777		0.0003697060152537	0.0006149944493231		0.0010003334444814								0.0025839528326552			0.0003455210111326								0.0006270049156987			7.339076631250918e-05		0.0058518642367497						0.002033876580861		0.0006184516880093				0.0008727831308476						0.0019691159801573	0.000331396935553	0.0009991435912075		0.0004161868956619	0.0040229249663678	0.0021736226035343			0.000432973776849			0.0022448222686369	0.0033718160175275				0.0087439678995032	0.005163064213746		0.0017051369494197			0.0008205809233951		0.000483242843736	0.0002067030857817		0.0010186850319006				0.0034250764525993	0.0006166695516704	0.0002777081019099
1005665	Kosakonia oryzendophytica	Kosakonia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria																																			6.23552425253966e-05																																																																																																																																																																																																																																																									
1005667	Kosakonia oryziphila	Kosakonia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria																																																																																																																																																																																																																																																																			0.0006708748243312																									
1005945	Nocardioides psychrotolerans	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria																																																																																																																																																																																																																																						7.339076631250918e-05																																																						
1007511	Sphingobium limneticum	Sphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																																																																													0.0001629167980173		0.0001718146507423																																																																																																																																													
1007516	Sphingomonas starnbergensis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria			0.0060855042364638			0.0079529345552799		0.0011984178876918	0.0088286679085022	0.0021386109429475					0.0004904129215389		0.0073354128577565			0.0112238584315938	0.0003793434268829	0.0081306826760163				0.0003252854793933			0.0022336088364078	0.0057846489160826	0.0024184546694778		0.0011155378486056			0.0003369266702586		0.0041346783761764		0.0039948865452221	0.0019837270165162		0.0007026329099723				0.0017438076144737	0.0020127490714873		0.0051809870467277			0.0015503917954515	0.0002011452154052		0.0025014791888952		0.0022423922223861	0.002307974132965		0.0055854327582467	0.0068111576023477	0.0014577259475218	0.0005612505109319		0.0013469694611115			0.0001947639952757					0.0027972859221284	0.0051964059595959		0.0001101343487708		0.0077615130669038		0.0011783831555394	0.000963728223449				0.0091783087517213						0.0041453391074882	0.0003752924012391			0.004874321161894		0.0016965843287993			0.0081462849218425				0.0002241064279556		0.0015661917534936	0.0015847677993058	0.0016143914291419	0.0022730074433724		0.000150222366517	0.0003449543399515	0.0036721440433843	0.0010478800580373	0.0020244879623096	0.0001916985218573		0.0027092920694853		0.0036254631887857		0.0027177898150635	0.0060152291463867	0.0001566411296214	0.0061247786435959		0.0044094868813509	0.0005839686082314	0.0007520918876828			0.0006325307407764			0.0019842378530033		0.001549758055504	0.0116783548481843	0.0018637355066184						0.0101268931977924	0.0015829284053632			0.002307574282393	0.0106062196206884		0.0004477544016505	0.0004707301042073		0.002440406007569				0.0024155424808348	0.0048839819349008		0.0010979139065294	0.0010010347775228		0.0019635969804014		0.0022735917584848	0.0018756332948227				0.0240004740537767	0.0047369006183262	0.0084148997309999	0.0043131823733692					0.0034154619593938	0.0002140031840766	0.0049907863993544								0.0001263897899789		0.001749278542396	0.0130763097414134	0.0018277026240061	0.0052015958889569		0.0006019194246951	0.0050169107568881		0.0033330332712349	0.0007496955089403			0.0010816605846372	0.0048762857892684	0.0100343036985198	0.0004494042721301						0.0160329906030882		0.0007644345010602						0.0021064865078337	0.0014882767572389				0.0031316170928754				0.0003506088735414							0.0002162786313031		0.0045247393170816				0.0041412016414675				0.0022500326278894	0.0010064862446879	0.0016817552810998	0.0011209013996656			0.002925143646042	0.0068375727090521	0.0034213986384482	0.0001532166869888	0.0019941470396936	0.0054143789615085				0.0023845446467671				0.0073356040836481	0.0240048546808488		0.0028830705010295		0.0017043055706896	0.0077841974052154	0.0006669496149881	0.0007416110767992	0.0007535543319914	0.0007640667426363	0.0011737758168549		0.0055600349371446	0.0023862722438274	0.0013665058917315	0.0006560068254578	
