Sample_Index,Sample_Label1,Sample_Label2,Sample_Label3,Sample_Date,Sample_Site,Sample_Plant,Sample_PlantF,Sample_PlantS,Sample_Lat,Sample_Long,Sample_Type1,Sample_Type2,Sample_Type3,Ext_Weigh_Date,Ext_Weight,Ext_Date,Qubit_Ext_Date,Qubit_Ext_Vol,Qubit_Ext_R1,Qubit_Ext_R2,Qubit_Ext_R3,PCR_Date,Qubit_PCR_Date,Qubit_PCR_R1,Qubit_PCR_R2,Gel_Date,Gel_Band_R1,Gel_Band_R2,Gel_Band_R3,End-prep_Date,End-prep_Date2,Sequencing_Date,Sequencing_Date2,Comments
1,1.1F,1.1Fen,1.1Fen_B,10/20/2025,1,1,Flowering,Medium,27.189194,-81.341591,Fruit,Endophyte,Bacteria,,,,,,,,,,,,,,,,,07/08/2026,07/09/2026,07/08/2026,07/09/2026,
2,1.1F,1.1Fen,1.1Fen_F,10/20/2025,1,1,Flowering,Medium,27.189194,-81.341591,Fruit,Endophyte,Fungi,06/22/2026,0.0423,,,,,,,,,,,,NA,,,,,,,
3,1.1F,1.1Fep,1.1Fep_B,10/20/2025,1,1,Flowering,Medium,27.189194,-81.341591,Fruit,Epiphyte,Bacteria,,,,,,,,,,07/07/2026,07/07/2026,2.15,,07/07/2026,Faint Band,,07/08/2026,07/09/2026,07/08/2026,07/09/2026,
4,1.1F,1.1Fep,1.1Fep_F,10/20/2025,1,1,Flowering,Medium,27.189194,-81.341591,Fruit,Epiphyte,Fungi,06/22/2026,0.0423,06/29/2026,07/07/2026,2,<0.05,,,,,,,,,,,,,,,
5,1.1L,1.1Len,1.1Len_B,10/20/2025,1,1,Flowering,Medium,27.189194,-81.341591,Leaf,Endophyte,Bacteria,02/16/2026,0.2529,05/01/2026,05/01/2026,2,25.4,NA,NA,05/11/2026,05/12/2026,9.95,,05/13/2026,Band,Band,,,,,,
6,1.1L,1.1Len,1.1Len_F,10/20/2025,1,1,Flowering,Medium,27.189194,-81.341591,Leaf,Endophyte,Fungi,02/16/2026,0.2529,05/01/2026,05/01/2026,2,25.4,NA,NA,05/13/2026,05/13/2026,18.8,,05/14/2026,Band,,,,,,,
7,1.1L,1.1Lep,1.1Lep_B,10/20/2025,1,1,Flowering,Medium,27.189194,-81.341591,Leaf,Epiphyte,Bacteria,02/16/2026,0.2529,02/18/2026,03/04/2026,2,0.597,NA,NA,05/11/2026,05/12/2026,28.9,,05/13/2026,Band,,,,,,,
8,1.1L,1.1Lep,1.1Lep_F,10/20/2025,1,1,Flowering,Medium,27.189194,-81.341591,Leaf,Epiphyte,Fungi,02/16/2026,0.2529,02/18/2026,03/04/2026,2,0.597,NA,NA,05/11/2026,05/12/2026,31.8,,05/13/2026,Band,Band,,,,,,05/14/2026;gel_r2
9,1.1R,1.1R,1.1R_16S,10/20/2025,1,1,Flowering,Medium,27.189194,-81.341591,Root,NA,16S,06/09/2026,0.1487,06/09/2026,06/09/2026,2,2.11,NA,NA,06/24/2026,06/25/2026,68.4,,06/25/2026,Band,,,,,,,
10,1.1R,1.1R,1.1R_F,10/20/2025,1,1,Flowering,Medium,27.189194,-81.341591,Root,NA,Fungi,06/09/2026,0.1487,06/09/2026,06/09/2026,2,2.11,NA,NA,06/25/2026,06/25/2026,13.8,NA,06/26/2026,Double Band ,,,,,,,"Blurred bands, these fungal primers are not ideal for root and soil-sourced microbes, do not use PCR Product"
