Response,Predictor,Estimate,Standard_Error,Degrees_of_Freedom,Test_Statistic,P_Value,CI_Lower,CI_Upper,Same_Site_Estimate,Same_Site_Standard_Error,Same_Site_Degrees_of_Freedom,Same_Site_Test_Statistic,Same_Site_P_Value,Same_Site_CI_Lower,Same_Site_CI_Upper,N_Pairs,N_Within_Site_Pairs,N_Between_Site_Pairs,N_Sites,N_Plants,Site_1_Variance,Site_2_Variance,Plant_1_Variance,Plant_2_Variance,Residual_Variance,Singular,Convergence_Message,Model_Status,P_Adjusted_BH,Same_Site_P_Adjusted_BH,Significant_Raw,Significant_BH,Same_Site_Significant_Raw,Same_Site_Significant_BH,Comparison,Comparison_Category
Leaf_EP,Leaf_EN,0.3245966553342434,0.028481697556333445,1017.4888981959928,11.39667516980789,2.1092736441560338e-28,0.2687070712242548,0.38048623944423204,0.08253000327991572,0.08025035791057877,901.4144449289957,1.0284066691874085,0.3040344421820816,-0.0749692835560764,0.24002929011590785,1035,192,843,5,46,0.20872842792429117,0.28968386004172975,0.23995318788911718,0.15061137886088108,0.3444236761547044,FALSE,NA,Success,4.429474652727671e-27,0.3040344421820816,TRUE,TRUE,FALSE,FALSE,Leaf_EP ~ Leaf_EN,Leaf pathway
Soil_p,Soil_1m,0.25750715255276874,0.0284491050447361,1172.6734678388539,9.051502750186335,5.725542203600488e-19,0.20169032144172608,0.3133239836638114,-0.31965131832918936,0.05261134301834116,1004.6495010979585,-6.075711053750401,1.7496649338286685e-9,-0.4228920338446204,-0.21641060281375837,1176,216,960,5,49,0.073348976633689,0.06613735572840997,0.3421160634379878,0.35456948142533407,0.19138749560982996,FALSE,NA,Success,6.011819313780513e-18,9.185740902600509e-9,TRUE,TRUE,TRUE,TRUE,Soil_p ~ Soil_1m,Belowground pathway
Root,Soil_p,0.1384943560983844,0.023774554811994822,1208.951609957469,5.82531858928903,7.300694637580091e-9,0.09185038723490627,0.18513832496186253,-0.05910483665377881,0.04358379766442364,1134.7822454907755,-1.3561194714802147,0.17533093030844848,-0.14461871826308584,0.02640904495552821,1225,225,1000,5,50,0,0.026970543618068946,0.43234085003423567,0.48278033030914197,0.13603614240895065,TRUE,boundary (singular) fit: see help('isSingular'),Success,5.110486246306064e-8,0.18409747682387093,TRUE,TRUE,FALSE,FALSE,Root ~ Soil_p,Belowground pathway
Fruit_EP,Fruit_EN,0.14079565668144614,0.043298796459379875,537.7091613513369,3.2517221769323656,0.0012189740891426187,0.055740125542055916,0.22585118782083635,-0.1930211874151018,0.0999390122600795,277.1491672353724,-1.9313897851300244,0.05445440449478619,-0.38975716908950886,0.0037147942593052374,780,147,633,5,40,0.028979841445573185,0.02068525121454484,0.13093287939183787,0.1217890395812015,0.7128460274771329,FALSE,NA,Success,0.006399613967998748,0.06353013857725055,TRUE,TRUE,FALSE,FALSE,Fruit_EP ~ Fruit_EN,Fruit pathway
Root,Soil_1m,0.0480003340370803,0.024883293859824553,1163.421628405917,1.9290184935917782,0.05397156997933503,-8.208158758278086e-4,0.09682148394998841,-0.07925475983946119,0.0450901664345414,1126.9270321673528,-1.7576949944178504,0.07907089815612257,-0.16772488079612094,0.009215361117198562,1176,216,960,5,49,0,0.04951263598048775,0.4163783953654774,0.48869376883603094,0.14170724185524075,TRUE,boundary (singular) fit: see help('isSingular'),Success,0.22668059391320713,0.08739415059360917,FALSE,FALSE,FALSE,FALSE,Root ~ Soil_1m,Belowground pathway
Fruit_EP,Soil_p,-0.07024741059443064,0.04807029344227249,617.406990641637,-1.4613476549459927,0.14442879664292885,-0.16464851206105832,0.024153690872197042,-0.30831735857043524,0.09321637212038407,348.5246851357826,-3.307545139948801,0.0010392678637524742,-0.49165474972540524,-0.12497996741546527,990,183,807,5,45,0.04291728450869954,0.03504102874430637,0.19636310281672237,0.18363979411653727,0.6304837658708226,FALSE,NA,Success,0.4616388703782359,0.003185501973943686,FALSE,FALSE,TRUE,TRUE,Fruit_EP ~ Soil_p,Cross-organ: belowground-fruit
Fruit_EN,Soil_1m,0.06620828115539931,0.04641303889758208,688.3235245503987,1.4265017488188751,0.15417696540981646,-0.024919840481575348,0.15733640279237399,-0.23348350433846782,0.08226098979541538,660.6022694592777,-2.8383259783178594,0.004674337731730506,-0.39500801969545907,-0.0719589889814766,780,147,633,5,40,2.606817982115216e-14,0.016990660646919592,0.4173869964253547,0.28624172784074464,0.3851196092558258,TRUE,boundary (singular) fit: see help('isSingular'),Success,0.4616388703782359,0.010906788040704515,FALSE,FALSE,TRUE,TRUE,Fruit_EN ~ Soil_1m,Cross-organ: belowground-fruit
Leaf_EP,Soil_p,0.053549598919832984,0.03953108113439152,944.8694435572223,1.354620146557174,0.17586242681075653,-0.024029271633192205,0.13112846947285817,-0.17185848537187007,0.07804098896313083,939.3639561876603,-2.2021566827281207,0.027896597462239037,-0.32501334776141344,-0.018703622982326695,1128,207,921,5,48,0.13752671791922982,0.3816067256951108,0.22006957557278872,0.18282552761020104,0.3866970140949286,FALSE,NA,Success,0.4616388703782359,0.03905523644713465,FALSE,FALSE,TRUE,TRUE,Leaf_EP ~ Soil_p,Cross-organ: belowground-leaf
Fruit_EN,Root,0.060239973185602785,0.05368751692234001,533.8034743199233,1.1220480409392193,0.26234646864947914,-0.045224751311962894,0.16570469768316848,-0.2611563602794052,0.07939007244243236,604.7780994772785,-3.289534223170988,0.001061833991314562,-0.4170700679420989,-0.10524265261671151,780,147,633,5,40,0,0.017569672736067396,0.41469482047095557,0.28563455062259174,0.38568632600310804,TRUE,boundary (singular) fit: see help('isSingular'),Success,0.5935718286219945,0.003185501973943686,FALSE,FALSE,TRUE,TRUE,Fruit_EN ~ Root,Cross-organ: belowground-fruit
Fruit_EP,Root,-0.056588278795324395,0.0525909053414827,355.37247891645063,-1.0760088351376724,0.2826532517247593,-0.1600168055165886,0.046840247925939785,-0.28192927904549026,0.09046743252129588,333.9816744055375,-3.1163621116264637,0.001989819382262411,-0.4598870739732903,-0.1039714841176902,990,183,807,5,45,0.039692023278947615,0.03390595996009526,0.20628047942219535,0.18924710162922814,0.6295203767790022,FALSE,NA,Success,0.5935718286219945,0.005223275878438828,FALSE,FALSE,TRUE,TRUE,Fruit_EP ~ Root,Cross-organ: belowground-fruit
Fruit_EP,Leaf_EN,0.035518795561282346,0.03988484076780139,835.4316517518591,0.8905337185138343,0.37343575133681517,-0.04276747335796585,0.11380506448053054,-0.220035656025156,0.10306930620338141,290.3941772091756,-2.1348320283729363,0.03361175289870778,-0.4228932324071928,-0.01717807964311921,861,159,702,5,42,0.03672057705618062,0.03517604549637086,0.21944901979594805,0.19097337251598254,0.6296363549717844,FALSE,NA,Success,0.6487074757048698,0.044115425679553955,FALSE,FALSE,TRUE,TRUE,Fruit_EP ~ Leaf_EN,Cross-organ: leaf-fruit
Fruit_EP,Leaf_EP,0.03583272137190697,0.04224477181765257,744.5788368643671,0.8482167101429049,0.3965898835777152,-0.04710031954616654,0.11876576228998048,-0.27047613857419006,0.09622925179685428,348.2112105132384,-2.81074760037812,0.005222239485023604,-0.45973983676667546,-0.08121244038170466,903,166,737,5,43,0.037709160977826284,0.033201046768413976,0.22178606106543375,0.19494613171342778,0.6284886030073359,FALSE,NA,Success,0.6487074757048698,0.010966702918549568,FALSE,FALSE,TRUE,TRUE,Fruit_EP ~ Leaf_EP,Cross-organ: leaf-fruit
Fruit_EN,Leaf_EN,0.030550878228128294,0.0363985088514801,658.411022315907,0.8393442256875856,0.4015808182934908,-0.040920270253651275,0.10202202670990787,-0.18018908934866212,0.09154217861941406,641.228815880384,-1.9683723073469437,0.049455583115914456,-0.3599477585330883,-4.304201642359451e-4,666,124,542,5,37,0,0,0.40662965594570394,0.29942076519397104,0.39754098494540213,TRUE,boundary (singular) fit: see help('isSingular'),Success,0.6487074757048698,0.061092190907894334,FALSE,FALSE,TRUE,FALSE,Fruit_EN ~ Leaf_EN,Cross-organ: leaf-fruit
Fruit_EN,Soil_p,-0.031495878215687105,0.04546240004872361,681.9196908522991,-0.6927896059585921,0.48867745701474374,-0.12075897646981457,0.05776722003844036,-0.27732949581761673,0.08167023655373354,614.4420201309562,-3.395722940451538,7.286160055003834e-4,-0.4377161464421537,-0.11694284519307979,780,147,633,5,40,0,0.004620452261804955,0.4191418478706395,0.2930248809229156,0.38599776260161134,TRUE,boundary (singular) fit: see help('isSingular'),Success,0.7330161855221156,0.0030601872231016103,FALSE,FALSE,TRUE,TRUE,Fruit_EN ~ Soil_p,Cross-organ: belowground-fruit
Leaf_EN,Soil_1m,-0.01592300165773317,0.04019961954765085,862.9441155271976,-0.39609831727035993,0.6921304155353565,-0.09482347120780252,0.06297746789233619,-0.7686689348274371,0.08170143359743959,487.7423216068334,-9.408267407091449,1.981330478043599e-19,-0.9291991510987816,-0.6081387185560927,1035,190,845,5,46,0.06140303540304235,0.06646541830696955,0.18676869611314278,0.259459278687107,0.41847796588026076,FALSE,NA,Success,0.8969333604228691,1.3869313346305193e-18,FALSE,FALSE,TRUE,TRUE,Leaf_EN ~ Soil_1m,Cross-organ: belowground-leaf
Fruit_EN,Leaf_EP,0.015454629041988783,0.03915956105989631,666.6452769348126,0.394657872143925,0.6932216258016394,-0.061436299448600296,0.09234555753257787,-0.21153985534393188,0.08390082412343114,488.35090819323545,-2.5213084323548944,0.012009134272522889,-0.37639101029591354,-0.04668870039195022,703,131,572,5,38,0,3.666019350601664e-4,0.4351239366384033,0.3112120387212237,0.38120570098893825,TRUE,boundary (singular) fit: see help('isSingular'),Success,0.8969333604228691,0.018013701408784333,FALSE,FALSE,TRUE,TRUE,Fruit_EN ~ Leaf_EP,Cross-organ: leaf-fruit
Leaf_EN,Root,0.015694570759025774,0.04477912462154823,631.7321180730023,0.3504885567029009,0.726088910818513,-0.07223937182472921,0.10362851334278077,-0.7475251001988403,0.07830462847275411,508.4898103700546,-9.546371840062298,5.625121385493904e-20,-0.9013655248325598,-0.5936846755651208,1081,199,882,5,47,0.06099195519850333,0.08045078719571189,0.17542062727077706,0.26090295353982673,0.40777967650295766,FALSE,NA,Success,0.8969333604228691,1.1812754909537199e-18,FALSE,FALSE,TRUE,TRUE,Leaf_EN ~ Root,Cross-organ: belowground-leaf
Leaf_EN,Soil_p,-0.006817809123031399,0.03974836398127345,894.6263954573647,-0.17152427018740837,0.8638503371537096,-0.08482871159839599,0.07119309335233319,-0.7529677517603615,0.07987290817684978,531.8048551012887,-9.427073195997643,1.2912922569911034e-19,-0.9098728701033634,-0.5960626334173595,1081,199,882,5,47,0.05978554463653635,0.07752310141820426,0.17732134185594156,0.26214264959347455,0.4076599501752947,FALSE,NA,Success,0.9332852003048997,1.3558568698406585e-18,FALSE,FALSE,TRUE,TRUE,Leaf_EN ~ Soil_p,Cross-organ: belowground-leaf
