Site_1,Site_2,Same_Site,Plant_1,Plant_2,Plant_1_ID,Plant_2_ID,Pair,Soil_1m,Soil_p,Root,Leaf_EN,Leaf_EP,Fruit_EN,Fruit_EP
1,1,TRUE,1,2,1_1,1_2,1_1 vs 1_2,NA,0.27467973036174237,0.48226196983580644,0.25393376169558396,0.31753947895498746,NA,0.5070336700243586
1,1,TRUE,1,3,1_1,1_3,1_1 vs 1_3,NA,0.2788590228328015,0.4927946510415238,0.17608236678585934,0.08726034959232257,NA,0.3649309220363712
1,1,TRUE,1,4,1_1,1_4,1_1 vs 1_4,NA,0.27337063832272884,0.5315686665493398,0.19523130384100687,0.23827205849721209,NA,0.18854068626990966
1,1,TRUE,1,5,1_1,1_5,1_1 vs 1_5,NA,0.8061329570064898,0.4970644625725391,0.3489080523388792,0.2584698883308625,NA,0.30002201829156683
1,1,TRUE,1,6,1_1,1_6,1_1 vs 1_6,NA,0.2576148614933457,0.4660582066967056,0.3097540972262604,0.481799380625297,NA,0.8953368851480207
1,1,TRUE,1,7,1_1,1_7,1_1 vs 1_7,NA,0.364578607302429,0.7161546111598721,0.30702790889479686,0.13738245244342456,NA,0.4824223718300899
1,1,TRUE,1,8,1_1,1_8,1_1 vs 1_8,NA,0.26253968429544694,0.5081794740639568,0.27352334514317284,0.20510021734538236,NA,NA
1,1,TRUE,1,9,1_1,1_9,1_1 vs 1_9,NA,0.28874931217392125,0.47969458198932097,0.25915557834928066,0.5232903878739593,NA,0.8741356512454723
1,1,TRUE,1,10,1_1,1_10,1_1 vs 1_10,NA,0.3394305092276113,0.7531533030110653,0.4038715769497632,0.1591429699571217,NA,0.2509832323846519
1,2,FALSE,1,1,1_1,2_1,1_1 vs 2_1,NA,0.26758440276201523,0.5799605399793455,0.4107868203527735,0.6203846465317666,NA,0.899688593070588
1,2,FALSE,1,2,1_1,2_2,1_1 vs 2_2,NA,0.3650952479972043,0.5848808348044291,0.5139447147509888,0.6746640804655017,NA,0.32277261328244683
1,2,FALSE,1,3,1_1,2_3,1_1 vs 2_3,NA,0.34321403947792706,0.5637096903573574,0.4167145990093425,0.5385960882174082,NA,0.5082619734807141
1,2,FALSE,1,4,1_1,2_4,1_1 vs 2_4,NA,0.2707583134262717,0.5170243578180257,0.5789263156343886,0.5275102018825019,NA,0.9532090111935024
1,2,FALSE,1,5,1_1,2_5,1_1 vs 2_5,NA,0.2947387664531215,0.5209806204622132,0.5572948114028847,0.8139568113450938,NA,0.9473093406864131
1,2,FALSE,1,6,1_1,2_6,1_1 vs 2_6,NA,0.3122926078300144,0.5143036592225623,0.4287997388403444,0.5285894319584447,NA,0.9133473069412689
1,2,FALSE,1,7,1_1,2_7,1_1 vs 2_7,NA,0.29806276600366344,0.5293981580664047,0.4282672101090182,0.6160297777422248,NA,0.8041193234107413
1,2,FALSE,1,8,1_1,2_8,1_1 vs 2_8,NA,0.2558466075881686,0.5278504217022779,0.547917323329319,0.6314942229404781,NA,0.8621518446193195
1,2,FALSE,1,9,1_1,2_9,1_1 vs 2_9,NA,0.29386158181881095,0.5260091217778875,0.48345677803562886,0.5521854614398504,NA,0.9213474532518737
1,2,FALSE,1,10,1_1,2_10,1_1 vs 2_10,NA,0.30881459263348676,0.5546142986769943,0.502927328909071,0.5955129100906495,NA,0.9260122780098615
1,3,FALSE,1,1,1_1,3_1,1_1 vs 3_1,NA,0.3040986199027978,0.8250269346458566,NA,0.5061523152016706,NA,0.3023730639589895
1,3,FALSE,1,2,1_1,3_2,1_1 vs 3_2,NA,0.3413446678352453,0.6188691783976213,NA,0.6118931025124947,NA,0.7883886690054848
1,3,FALSE,1,3,1_1,3_3,1_1 vs 3_3,NA,0.3625215089172788,0.5348377884737355,0.3377631684808687,0.5253571030046091,NA,0.7057718540944657
1,3,FALSE,1,4,1_1,3_4,1_1 vs 3_4,NA,0.4920749235400371,0.526786394560074,0.5022765300829687,0.5016239746422302,NA,0.6646510391321709
