Sample_Index,NMDS1,NMDS2,Site,Plant,Plant_ID,Compartment
9,-0.4267787673206945,-0.4949628401649057,1,1,1_1,Root
13,0.0021463434134124226,-0.10945440986895236,1,1,1_1,Soil_p
23,-0.041290162965145344,-0.06294390306956497,1,2,1_2,Root
25,0.2546455697626671,-0.22430915489374345,1,2,1_2,Soil_1m
27,0.045124545362890525,-0.06257517514299318,1,2,1_2,Soil_p
37,-0.2090917742290608,-0.028642195402940062,1,3,1_3,Root
39,0.13172551245090267,-0.15802930294323117,1,3,1_3,Soil_1m
41,0.1736056499810162,-0.11300436853265591,1,3,1_3,Soil_p
51,-0.43397876133242835,0.08544026096845966,1,4,1_4,Root
53,0.1840794412958173,-0.19841230275166544,1,4,1_4,Soil_1m
55,-0.08268274852004769,0.009010207467796754,1,4,1_4,Soil_p
65,-0.08060312333393363,-0.04104105975490964,1,5,1_5,Root
67,0.26018887700501064,-0.22574875739413738,1,5,1_5,Soil_1m
69,-0.1404280300921063,-1.6313936928069082,1,5,1_5,Soil_p
79,-0.10289611000185503,-0.013825693771658144,1,6,1_6,Root
81,0.1981935015442295,-0.16252452442550866,1,6,1_6,Soil_1m
83,0.012411942612489712,-0.024448006942178076,1,6,1_6,Soil_p
93,-0.03304662433448476,-0.6329089739872563,1,7,1_7,Root
95,0.04013316758965682,-0.210961177556844,1,7,1_7,Soil_1m
97,-0.26773961419129355,-0.13400902974446743,1,7,1_7,Soil_p
107,-0.0239535594117763,0.024437456628275636,1,8,1_8,Root
109,0.07782473391678744,-0.09042610174522986,1,8,1_8,Soil_1m
111,0.08677684234695046,0.019921643784016126,1,8,1_8,Soil_p
121,-0.1135820511499263,0.014637694681178886,1,9,1_9,Root
123,-0.3741060029346687,0.12039685124182936,1,9,1_9,Soil_1m
125,0.030121176677531752,0.006719344367347384,1,9,1_9,Soil_p
135,-0.837237505593477,0.8063803767952592,1,10,1_10,Root
137,0.18361697617971717,-0.1215937149886403,1,10,1_10,Soil_1m
