Response,Predictor,Estimate,Standard_Error,Degrees_of_Freedom,Test_Statistic,P_Value,CI_Lower,CI_Upper,Same_Site_Estimate,Same_Site_Standard_Error,Same_Site_Degrees_of_Freedom,Same_Site_Test_Statistic,Same_Site_P_Value,Same_Site_CI_Lower,Same_Site_CI_Upper,N_Pairs,N_Within_Site_Pairs,N_Between_Site_Pairs,N_Sites,N_Plants,Site_1_Variance,Site_2_Variance,Plant_1_Variance,Plant_2_Variance,Residual_Variance,Singular,Convergence_Message,Model_Status,P_Adjusted_BH,Same_Site_P_Adjusted_BH,Significant_Raw,Significant_BH,Same_Site_Significant_Raw,Same_Site_Significant_BH,Comparison,Comparison_Category
Leaf_EP,Leaf_EN,0.29153750396383193,0.032857841992652966,616.6521572058613,8.872691761955027,7.691715873552603e-18,0.22701066812967594,0.3560643397979879,0.057423759695482315,0.0905673042488254,527.062933516179,0.6340451465543876,0.5263264322910277,-0.12049345331683146,0.23534097270779608,630,118,512,5,36,0.2133973615344356,0.1791068924131034,0.29899885237763973,0.12978861487276735,0.3127993300122472,FALSE,NA,Success,1.6152603334460466e-16,0.5263264322910277,TRUE,TRUE,FALSE,FALSE,Leaf_EP ~ Leaf_EN,Leaf pathway
Soil_p,Soil_1m,0.27628095968245564,0.03774647324251358,603.6610293255887,7.319384725227319,7.984898995418698e-13,0.20215060243274968,0.3504113169321616,-0.3921932630175687,0.0725653143577501,536.1426497861838,-5.404693226905063,9.78360777841922e-8,-0.5347404592798842,-0.2496460667552531,630,118,512,5,36,0.05813300574478223,0.09971670208212378,0.35229455394555576,0.23527987752395954,0.2041661101255446,FALSE,NA,Success,8.384143945189633e-12,5.136394083670091e-7,TRUE,TRUE,TRUE,TRUE,Soil_p ~ Soil_1m,Belowground pathway
Root,Soil_p,0.13671490389020835,0.031055482387461537,605.6833490013154,4.402279191303309,1.26621214159638e-5,0.07572540303554387,0.19770440474487283,-0.06627083260540961,0.05812219615507221,520.8747368828471,-1.1401983577598571,0.25472768132571466,-0.18045356113652672,0.04791189592570749,630,118,512,5,36,0.002951517239122418,0.0850406408602063,0.3888545674932539,0.4725122865168173,0.12801053715866492,FALSE,NA,Success,8.86348499117466e-5,0.2674640653920004,TRUE,TRUE,FALSE,FALSE,Root ~ Soil_p,Belowground pathway
Fruit_EP,Fruit_EN,0.1060826274972286,0.0481978140461225,410.1025812332912,2.2009842063732123,0.028293720039082093,0.011337033063499619,0.2008282219309576,-0.1311333885971788,0.11148558760335035,193.62169886851876,-1.1762362419771468,0.2409446214244752,-0.3510154898863572,0.08874871269199966,630,118,512,5,36,0.01654211286248161,0.012508080087959839,0.13035887197421567,0.11619121284313784,0.7491906140653272,FALSE,NA,Success,0.1302192430680559,0.26630721315336736,TRUE,FALSE,FALSE,FALSE,Fruit_EP ~ Fruit_EN,Fruit pathway
Fruit_EP,Soil_p,-0.12762229130636377,0.05880921204898726,234.17706742742703,-2.170107145799814,0.031004581682870454,-0.2434850192308531,-0.011759563381874422,-0.21822021863682226,0.11613913808346753,211.98913295684653,-1.8789550382231228,0.06162289531227538,-0.4471557308222231,0.010715293548578586,630,118,512,5,36,0.023520531893310475,0.0101385816178523,0.13314387708376568,0.10987207194387323,0.7498585981833674,FALSE,NA,Success,0.1302192430680559,0.11498758042456367,TRUE,FALSE,FALSE,FALSE,Fruit_EP ~ Soil_p,Cross-organ: belowground-fruit
Root,Soil_1m,0.05882049176116489,0.03144150946401656,614.6429679644535,1.8707909627711221,0.061849003923655985,-0.0029253210647639943,0.12056630458709378,-0.10912816516410988,0.05904002981402212,532.0037838298458,-1.8483758478419963,0.06510272698796869,-0.22510835388329048,0.00685202355507071,630,118,512,5,36,0.013997330756303985,0.10358769952415052,0.36654240109686376,0.4658782460634185,0.13180459831102692,FALSE,NA,Success,0.21647151373279594,0.11498758042456367,FALSE,FALSE,FALSE,FALSE,Root ~ Soil_1m,Belowground pathway
Leaf_EN,Soil_p,-0.07871457099549341,0.053479017017570525,500.46942555831293,-1.471877670631675,0.14168244331260352,-0.18378561748846223,0.0263564754974754,-0.8431470502513699,0.1021443591706665,259.15533759373864,-8.254465122666335,7.82568093148475e-15,-1.0442856381450745,-0.6420084623576653,630,118,512,5,36,0.041212521792503426,0.022887007925409066,0.21666826634400102,0.23224423942194192,0.47206520798031537,FALSE,NA,Success,0.4250473299378106,1.2922025781157513e-13,FALSE,FALSE,TRUE,TRUE,Leaf_EN ~ Soil_p,Cross-organ: belowground-leaf
Fruit_EP,Root,-0.07899205379171081,0.0623104681306241,128.0508671386153,-1.2677172257174572,0.20719930613689427,-0.2022834933601632,0.04429938577674157,-0.16365176530064404,0.11219357547028797,203.56706238567585,-1.4586554053086904,0.146201177296913,-0.384862257450317,0.05755872684902888,630,118,512,5,36,0.020221581012994885,0.010097870079017919,0.1518074287264154,0.11567154137499891,0.748769925249918,FALSE,NA,Success,0.5438025496740202,0.19188904520219832,FALSE,FALSE,FALSE,FALSE,Fruit_EP ~ Root,Cross-organ: belowground-fruit
Fruit_EN,Soil_1m,0.06001104710023238,0.05026898686143093,564.4407060074385,1.1937986191298413,0.23305823557458005,-0.038726076793724966,0.15874817099418972,-0.1475327773707382,0.09394079069111787,499.8602118457164,-1.5704868597054236,0.11693464264306255,-0.33210023762754814,0.03703468288607173,630,118,512,5,36,5.567654416922112e-13,0.0029271453607613725,0.4039021820605493,0.3030399506403373,0.39122348405355967,TRUE,boundary (singular) fit: see help('isSingular'),Success,0.5438025496740202,0.17540196396459384,FALSE,FALSE,FALSE,FALSE,Fruit_EN ~ Soil_1m,Cross-organ: belowground-fruit
Fruit_EN,Leaf_EN,0.03573360860565415,0.036952567428099374,621.1512686641072,0.9670128787447039,0.33391394667352936,-0.036833490886515954,0.10830070809782426,-0.15073206961933155,0.09461716705877625,605.0901161581813,-1.5930731631998312,0.11166598921127122,-0.33654998887893384,0.035085849640270755,630,118,512,5,36,0,2.664019885148155e-14,0.40887613564189673,0.30886860169181,0.39104483353455866,TRUE,boundary (singular) fit: see help('isSingular'),Success,0.6997922791781931,0.17540196396459384,FALSE,FALSE,FALSE,FALSE,Fruit_EN ~ Leaf_EN,Cross-organ: leaf-fruit
