contrast,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
Soil_1m - Soil_p,-0.017848405363100478,0.02338485436660976,Inf,-0.08889333053869228,0.05319651981249132,-0.7632463766199655,0.6150676461781599
Soil_1m - Root,0.016570556588018096,0.023384854366609788,Inf,-0.05447436858757379,0.08761548176360998,0.7086020861296648,0.6150676461781599
Soil_1m - Leaf_EN,-0.003062519027100261,0.023384854366609767,Inf,-0.07410744420269208,0.06798240614849155,-0.13096164633264087,0.8958056478247529
Soil_1m - Leaf_EP,0.011735239891417372,0.023384854366609756,Inf,-0.059309685284174414,0.08278016506700916,0.5018307878869507,0.6806061914221265
Soil_1m - Fruit_EN,0.05752858589055726,0.02338485436660978,Inf,-0.013516339285034595,0.12857351106614912,2.4600788608159916,0.04057680028894983
Soil_1m - Fruit_EP,0.0731963063974796,0.023384854366609784,Inf,0.0021513812218877243,0.14424123157307145,3.130073219613179,0.009175043697894073
Soil_p - Root,0.03441896195111857,0.023384854366609833,Inf,-0.03662596322447345,0.10546388712671059,1.4718484627496264,0.2692998063649111
Soil_p - Leaf_EN,0.014785886336000217,0.023384854366609833,Inf,-0.0562590388395918,0.08583081151159223,0.6322847302873227,0.6150676461781599
Soil_p - Leaf_EP,0.02958364525451785,0.023384854366609822,Inf,-0.041461279921074144,0.10062857043010984,1.2650771645069128,0.3602264187899712
Soil_p - Fruit_EN,0.07537699125365774,0.023384854366609826,Inf,0.004332066078065744,0.14642191642924973,3.2233252374359505,0.008869811456802447
Soil_p - Fruit_EP,0.09104471176058007,0.02338485436660983,Inf,0.019999786584988063,0.16208963693617207,3.893319596233136,0.002076516609896902
Root - Leaf_EN,-0.01963307561511836,0.023384854366609836,Inf,-0.0906780007907104,0.05141184956047368,-0.8395637324623039,0.6150676461781599
Root - Leaf_EP,-0.004835316696600724,0.02338485436660983,Inf,-0.07588024187219274,0.06620960847899128,-0.20677129824271445,0.8779978960376821
Root - Fruit_EN,0.04095802930253917,0.02338485436660983,Inf,-0.03008689587305284,0.11200295447813118,1.7514767746863233,0.1677140188375112
Root - Fruit_EP,0.0566257498094615,0.023384854366609836,Inf,-0.014419175366130535,0.12767067498505352,2.4214711334835086,0.04057680028894983
Leaf_EN - Leaf_EP,0.014797758918517633,0.023384854366609826,Inf,-0.05624716625707436,0.08584268409410963,0.6327924342195896,0.6150676461781599
Leaf_EN - Fruit_EN,0.06059110491765752,0.023384854366609826,Inf,-0.010453820257934475,0.1316360300932495,2.5910405071486275,0.03349017975859023
Leaf_EN - Fruit_EP,0.07625882542457986,0.023384854366609833,Inf,0.005213900248987838,0.14730375060017187,3.2610348659458133,0.008869811456802447
Leaf_EP - Fruit_EN,0.04579334599913989,0.023384854366609815,Inf,-0.02525157917645208,0.11683827117473186,1.9582480729290388,0.117135458308852
Leaf_EP - Fruit_EP,0.06146106650606222,0.023384854366609822,Inf,-0.009583858669529773,0.13250599168165422,2.6282424317262247,0.03349017975859023
Fruit_EN - Fruit_EP,0.015667720506922334,0.023384854366609815,Inf,-0.05537720466866963,0.0867126456825143,0.6699943587971866,0.6150676461781599
