Sample_Index,Richness,Total_Reads,Site,Plant_ID,Compartment,Compartment_Label
43,70,0.9999999999999897,1,1_4,Fruit_EN,Fruit endophyte
45,22,0.9999999999999988,1,1_4,Fruit_EP,Fruit epiphyte
47,122,0.9999999999999922,1,1_4,Leaf_EN,Leaf endophyte
49,24,0.9999999999999998,1,1_4,Leaf_EP,Leaf epiphyte
51,225,0.9999999999999787,1,1_4,Root,Root
53,171,0.9999999999999859,1,1_4,Soil_1m,Bulk soil (>1 m)
55,293,0.9999999999999736,1,1_4,Soil_p,Rhizosphere soil
57,56,0.9999999999999949,1,1_5,Fruit_EN,Fruit endophyte
59,22,0.9999999999999972,1,1_5,Fruit_EP,Fruit epiphyte
61,50,0.9999999999999969,1,1_5,Leaf_EN,Leaf endophyte
63,24,0.9999999999999976,1,1_5,Leaf_EP,Leaf epiphyte
65,158,0.9999999999999867,1,1_5,Root,Root
67,205,0.9999999999999828,1,1_5,Soil_1m,Bulk soil (>1 m)
69,15,0.9999999999999988,1,1_5,Soil_p,Rhizosphere soil
71,62,0.9999999999999966,1,1_6,Fruit_EN,Fruit endophyte
73,35,1.0000000000000864,1,1_6,Fruit_EP,Fruit epiphyte
75,75,1.0000000000000102,1,1_6,Leaf_EN,Leaf endophyte
77,39,0.9999999999999974,1,1_6,Leaf_EP,Leaf epiphyte
79,309,0.9999999999999732,1,1_6,Root,Root
81,205,0.9999999999999839,1,1_6,Soil_1m,Bulk soil (>1 m)
83,266,0.9999999999999774,1,1_6,Soil_p,Rhizosphere soil
85,61,0.9999999999999954,1,1_7,Fruit_EN,Fruit endophyte
87,23,0.999999999999993,1,1_7,Fruit_EP,Fruit epiphyte
89,106,0.9999999999999798,1,1_7,Leaf_EN,Leaf endophyte
91,73,1.000000000000007,1,1_7,Leaf_EP,Leaf epiphyte
93,16,0.9999999999999991,1,1_7,Root,Root
95,245,0.9999999999999968,1,1_7,Soil_1m,Bulk soil (>1 m)
97,200,0.9999999999999808,1,1_7,Soil_p,Rhizosphere soil
113,35,0.9999999999999887,1,1_9,Fruit_EN,Fruit endophyte
115,29,0.9999999999999979,1,1_9,Fruit_EP,Fruit epiphyte
117,149,1.000000000000012,1,1_9,Leaf_EN,Leaf endophyte
119,52,0.9999999999999836,1,1_9,Leaf_EP,Leaf epiphyte
121,184,0.9999999999999838,1,1_9,Root,Root
123,265,0.9999999999999778,1,1_9,Soil_1m,Bulk soil (>1 m)
125,271,0.9999999999999768,1,1_9,Soil_p,Rhizosphere soil
127,44,0.9999999999999966,1,1_10,Fruit_EN,Fruit endophyte
129,37,0.9999999999999947,1,1_10,Fruit_EP,Fruit epiphyte
131,79,1.000000000000109,1,1_10,Leaf_EN,Leaf endophyte
133,96,0.9999999999998931,1,1_10,Leaf_EP,Leaf epiphyte
135,115,0.9999999999999931,1,1_10,Root,Root
137,275,0.9999999999999798,1,1_10,Soil_1m,Bulk soil (>1 m)
139,242,0.9999999999999807,1,1_10,Soil_p,Rhizosphere soil
141,144,0.9999999999999832,2,2_1,Fruit_EN,Fruit endophyte
143,56,1.0000000000000637,2,2_1,Fruit_EP,Fruit epiphyte
145,105,0.9999999999999898,2,2_1,Leaf_EN,Leaf endophyte
147,94,1.0000000000000053,2,2_1,Leaf_EP,Leaf epiphyte
149,82,0.9999999999999937,2,2_1,Root,Root
151,202,0.9999999999999829,2,2_1,Soil_1m,Bulk soil (>1 m)
153,236,0.9999999999999797,2,2_1,Soil_p,Rhizosphere soil
155,94,0.9999999999999934,2,2_2,Fruit_EN,Fruit endophyte
157,51,0.9999999999999966,2,2_2,Fruit_EP,Fruit epiphyte
159,89,0.9999999999999912,2,2_2,Leaf_EN,Leaf endophyte
161,77,1.0000000000000198,2,2_2,Leaf_EP,Leaf epiphyte
163,83,0.999999999999995,2,2_2,Root,Root
165,283,0.9999999999999778,2,2_2,Soil_1m,Bulk soil (>1 m)
167,255,0.999999999999979,2,2_2,Soil_p,Rhizosphere soil
169,118,0.9999999999999926,2,2_3,Fruit_EN,Fruit endophyte
171,35,1.000000000000003,2,2_3,Fruit_EP,Fruit epiphyte
173,71,0.9999999999999969,2,2_3,Leaf_EN,Leaf endophyte
175,76,1.000000000000017,2,2_3,Leaf_EP,Leaf epiphyte
177,136,0.9999999999999883,2,2_3,Root,Root
179,222,0.9999999999999823,2,2_3,Soil_1m,Bulk soil (>1 m)
181,204,0.9999999999999833,2,2_3,Soil_p,Rhizosphere soil
183,120,1.0000000000000553,2,2_4,Fruit_EN,Fruit endophyte
185,44,0.9999999999996311,2,2_4,Fruit_EP,Fruit epiphyte
187,16,0.9999999999999989,2,2_4,Leaf_EN,Leaf endophyte
189,55,1.0000000000000022,2,2_4,Leaf_EP,Leaf epiphyte
191,166,0.9999999999999842,2,2_4,Root,Root
193,173,0.9999999999999843,2,2_4,Soil_1m,Bulk soil (>1 m)
195,257,0.9999999999999796,2,2_4,Soil_p,Rhizosphere soil
197,120,0.9999999999999946,2,2_5,Fruit_EN,Fruit endophyte
199,59,1.0000000000006861,2,2_5,Fruit_EP,Fruit epiphyte
201,150,0.9999999999999867,2,2_5,Leaf_EN,Leaf endophyte
203,70,0.9999999999999954,2,2_5,Leaf_EP,Leaf epiphyte
205,146,0.9999999999999889,2,2_5,Root,Root
207,143,0.9999999999999876,2,2_5,Soil_1m,Bulk soil (>1 m)
209,290,0.9999999999999754,2,2_5,Soil_p,Rhizosphere soil
211,100,1.0000000000001223,2,2_6,Fruit_EN,Fruit endophyte
213,46,0.9999999999999892,2,2_6,Fruit_EP,Fruit epiphyte
215,154,0.9999999999999855,2,2_6,Leaf_EN,Leaf endophyte
217,90,0.9999999999999959,2,2_6,Leaf_EP,Leaf epiphyte
219,174,0.9999999999999838,2,2_6,Root,Root
221,229,0.9999999999999797,2,2_6,Soil_1m,Bulk soil (>1 m)
223,212,0.99999999999998,2,2_6,Soil_p,Rhizosphere soil
225,105,1.000000000000125,2,2_7,Fruit_EN,Fruit endophyte
227,62,0.9999999999999458,2,2_7,Fruit_EP,Fruit epiphyte
229,198,0.9999999999999772,2,2_7,Leaf_EN,Leaf endophyte
231,152,0.9999999999999787,2,2_7,Leaf_EP,Leaf epiphyte
233,236,0.9999999999999779,2,2_7,Root,Root
235,306,0.9999999999999812,2,2_7,Soil_1m,Bulk soil (>1 m)
237,231,0.9999999999999793,2,2_7,Soil_p,Rhizosphere soil
239,52,0.9999999999999967,2,2_8,Fruit_EN,Fruit endophyte
241,64,0.999999999999965,2,2_8,Fruit_EP,Fruit epiphyte
243,97,1.000000000000004,2,2_8,Leaf_EN,Leaf endophyte
245,87,0.9999999999999851,2,2_8,Leaf_EP,Leaf epiphyte
247,185,0.9999999999999833,2,2_8,Root,Root
